2024-04-20 19:21:24,597 INFO    StreamThr :53394 [internal.py:wandb_internal():86] W&B internal server running at pid: 53394, started at: 2024-04-20 19:21:24.596749
2024-04-20 19:21:24,598 DEBUG   HandlerThread:53394 [handler.py:handle_request():146] handle_request: status
2024-04-20 19:21:24,599 INFO    WriterThread:53394 [datastore.py:open_for_write():87] open: /teamspace/studios/this_studio/nanoGPT/wandb/run-20240420_192124-gyjy7tns/run-gyjy7tns.wandb
2024-04-20 19:21:24,600 DEBUG   SenderThread:53394 [sender.py:send():379] send: header
2024-04-20 19:21:24,617 DEBUG   SenderThread:53394 [sender.py:send():379] send: run
2024-04-20 19:21:24,855 INFO    SenderThread:53394 [dir_watcher.py:__init__():211] watching files in: /teamspace/studios/this_studio/nanoGPT/wandb/run-20240420_192124-gyjy7tns/files
2024-04-20 19:21:24,855 INFO    SenderThread:53394 [sender.py:_start_run_threads():1124] run started: gyjy7tns with start time 1713640884.596377
2024-04-20 19:21:24,861 DEBUG   HandlerThread:53394 [handler.py:handle_request():146] handle_request: check_version
2024-04-20 19:21:24,861 DEBUG   SenderThread:53394 [sender.py:send_request():406] send_request: check_version
2024-04-20 19:21:24,905 DEBUG   HandlerThread:53394 [handler.py:handle_request():146] handle_request: run_start
2024-04-20 19:21:24,931 DEBUG   HandlerThread:53394 [system_info.py:__init__():26] System info init
2024-04-20 19:21:24,932 DEBUG   HandlerThread:53394 [system_info.py:__init__():41] System info init done
2024-04-20 19:21:24,932 INFO    HandlerThread:53394 [system_monitor.py:start():194] Starting system monitor
2024-04-20 19:21:24,932 INFO    SystemMonitor:53394 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-20 19:21:24,932 INFO    HandlerThread:53394 [system_monitor.py:probe():214] Collecting system info
2024-04-20 19:21:24,933 INFO    SystemMonitor:53394 [interfaces.py:start():190] Started cpu monitoring
2024-04-20 19:21:24,933 INFO    SystemMonitor:53394 [interfaces.py:start():190] Started disk monitoring
2024-04-20 19:21:24,934 INFO    SystemMonitor:53394 [interfaces.py:start():190] Started gpu monitoring
2024-04-20 19:21:24,935 INFO    SystemMonitor:53394 [interfaces.py:start():190] Started memory monitoring
2024-04-20 19:21:24,935 INFO    SystemMonitor:53394 [interfaces.py:start():190] Started network monitoring
